,Start time,End time,Cut idx,Scene idx,Annotation RJH->KWJ->KTL,,,,,,,,,,,,,,,,,,,,
5,0:00:08,0:00:10,1,4,He suddenly looks quite angry mrbean with the briefcase is getting inside a green car and reaches the door of the car to close it The car is parked in the middle of plaza where there are european looking buildings all around and on the left there are many outside tables and chairs for the restaurant or a cafe Also there are some fallen chairs on the right side Why is he so hurrying and looks nervous is he doing something bad,,,,,,,,,,,,,,,,,,,,
,,,,,The man who took the suitcase getting into a green car from the right side of the car He gets in and closes the door The guy in the purple car was driving from the left side of the car but this guy is getting in from the right side of the car,,,,,,,,,,,,,,,,,,,,
,,,,,mrbean gets the suitcase and gets in a yellow green car which seems to be his,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
6,0:00:10,0:00:12,1,4,Now he is ready to drive and hands are on the handle He keeps his eyes very wide open and drive the car backwards carefully while looking back,,,,,,,,,,,,,,,,,,,,
,,,,,He backs up the car quickly and tries to get away As he tries to drive away two men appear Wow what a bomb driver he is He backs up so quickly and speedily without bumping into the chairs near the car,,,,,,,,,,,,,,,,,,,,
,,,,,He drives off,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
7,0:00:12,0:00:14,1,4,Two men appears from each side of the screen One on the left has a flower hanging on the top of the head and has a strange hair style while the man on the right looks quite normal They come to the middle and scratch their heads while looking at the green car with mrbean inside going away from them Who are these people and why are they scratching their heads and is the guy on the left even a human because it has triangle shaped completely white head,,,,,,,,,,,,,,,,,,,,
,,,,,He drives away really quickly The two men watch him going away and scratch their heads They mumble something they are mesmerized and at a lost of words,,,,,,,,,,,,,,,,,,,,
,,,,,Two men watch him as he drives off They are scratching their heads One man is wearing a flower on his head,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
8,0:00:14,0:00:16,1,4,The guy on the right turns around with eyes wide open looking surprised and then the left one also looks around Left one looks like a clown with weird makeup They run to each side of the screen to avoid the purple car running towards them After it ran away they come to the middle to see what is going on I think the purple car is running after mrbean as it seems rushed to go after mrbean,,,,,,,,,,,,,,,,,,,,
,,,,,The two men turn around at the sound of another car starting They quickly separate from each other trying to avoid the incoming car The purple car speeds up and goes in the direction of the green car The two men watch the purple car go,,,,,,,,,,,,,,,,,,,,
,,,,,The two men jump off and dodged as they get almost hit by the blue car which start chasing mrbean car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
9,0:00:16,0:00:18,1,4,The scene changes to dome shaped top of the building with the England flag flapping in the wind The weather seems nice with blue sky and some clouds,,,,,,,,,,,,,,,,,,,,
,,,,,The two men watch and mumble something Then the scene shifts to showing a top of a building with a flag that looks somewhat like the England flag,,,,,,,,,,,,,,,,,,,,
,,,,,The two men look at the car chase in confusion,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10,0:00:18,0:00:20,1,4,The scene zooms out to show the whole building On the columns of the buildings there are banners with Vincent Van gogh written on it It is probably an art museum A red double deck bus and a black car is running in the big road in front of the museum And there is a green car running behind the red double decker,,,,,,,,,,,,,,,,,,,,
,,,,,The music is grand The larger part of the building is shown as the camera moves down There are two big signs that read Vincent van Gogh on the building with many other small posters at the bottom A red bus and the green car is moving on the road,,,,,,,,,,,,,,,,,,,,
,,,,,Scene changes mrbean is driving the car on a road,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
11,0:00:20,0:00:22,1,4,mrbean stops the green car in front of the museum He is looking outside of the window Is he looking at the posters on the wall of the building,,,,,,,,,,,,,,,,,,,,
,,,,,The green car suddenly stops in front of the building,,,,,,,,,,,,,,,,,,,,
,,,,,He stops his car in front of a building that looks like a museum or an art gallery,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
12,0:00:22,0:00:24,1,4,He steps outside of the car with the door opposite side of the road and takes the briefcase out of the car and closes the door with his left foot Why did he not come out of the door where the road is,,,,,,,,,,,,,,,,,,,,
,,,,,The driver opens the door gets out of the car and reaches for the suitcase inside the car He takes the suitcase and closes the door with his foot That suitcase is huge It's about the same size as his entire upper and lower body,,,,,,,,,,,,,,,,,,,,
,,,,,He takes the suitcase and gets off the car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
13,0:00:24,0:00:26,1,4,mrbean runs fast while holding the briefcase tight to himself and while he is running the purple car appears from the back corner and runs fast towards him,,,,,,,,,,,,,,,,,,,,
,,,,,He runs with the suitcase he mumbles something at the same time He is so slow While he runs the purple car appears and comes close to the green car,,,,,,,,,,,,,,,,,,,,
,,,,,The blue car catches up to mrbean car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
14,0:00:26,0:00:28,1,4,The shady man with the coat parks the car in front of mrbean green car and looks outside the window,,,,,,,,,,,,,,,,,,,,
,,,,,The purple car driver parks his car in front of the green car Then an old officer is shown sitting on a chair holding a mug in his hand The officer is stout,,,,,,,,,,,,,,,,,,,,
,,,,,The blue car stops in front of mrbean car Mrbean enters the building and now is at the security check,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
15,0:00:28,0:00:30,1,4,A fat policeman probably a security guard at the entrance inside the museum is dozing off holding a cup on the right hand sitting on a low chair while mrbean is running past him with the briefcase He is definitely doing something bad,,,,,,,,,,,,,,,,,,,,
,,,,,The officer is slacking off he is doze The man from the green car AAA sneaks past the officer and goes inside the building There is a statue of a naked person and some paintings inside This is an art museum,,,,,,,,,,,,,,,,,,,,
,,,,,The security officer is dozing off so mrbean walks pass him,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,0:00:30,0:00:32,1,4,There is a female nude figure inside the gallery and framed pictures on the wall When mrbean ran and saw the nude figure he is very surprised and embarrassed so covers his face with the briefcase and look the other side where there is also another nude figure He really tries hard to not look at them,,,,,,,,,,,,,,,,,,,,
,,,,,AAA freaks out as he sees the genital part of the naked statue in front of him He covers his sight with the suitcase He moves away from the statue but sees another naked statue and covers his sight with the suitcase again Laugh out loud,,,,,,,,,,,,,,,,,,,,
,,,,,In front of some nude sculptures mrbean covers his eyes with the suitcase,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
17,0:00:32,0:00:34,1,4,suddenly mrbean discovers something on the opposite wall looking very delighted by what he is seeing What made him so delightful,,,,,,,,,,,,,,,,,,,,
,,,,,He walks forward sees something ahead and smiles greatly,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean notices something and goes up to a painting,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
18,0:00:34,0:00:36,2,2,mrbean is trying to take a picture with a framed artwork of flowers in a vase but when he lowered his body his butt accidentally touched the laser in the front of the artwork making the alarm going off and the policeman in the entrance wakes up spilling the coffee,,,,,,,,,,,,,,,,,,,,
,,,,,AAA stands in front of a painting while holding some sort of device in front of him He makes the sounds uh ooh out loud Then rings The dozing officer wakes up suddenly,,,,,,,,,,,,,,,,,,,,
,,,,,mrbean is shaking head implying he did not mean to take that picture out and puts back inside his jacket reaching for another picture,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
19,0:00:36,0:00:38,2,2,The cup policeman drops breaks into pieces while the police hat that floated in the air reaches back to his bald head He yells a bit while looking at the broken pieces of the cup looks both sides,,,,,,,,,,,,,,,,,,,,
,,,,,The officer jumps and wakes up He breaks the coffee mug in the process He mumbles something to himself that sounds like make another one and walks towards his left,,,,,,,,,,,,,,,,,,,,
,,,,,Suddenly an alarm goes off and the security officer wakes from his nap The coffee cup in his hand is broken on the floor,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
20,0:00:38,0:00:40,2,2,He walks to the right going down the stairs He is really fat,,,,,,,,,,,,,,,,,,,,
,,,,,The officer walks down the stairs AAA watches something downward and says oh as if he realized something He is holding a camera in his hand,,,,,,,,,,,,,,,,,,,,
,,,,,mrbean prepares to take a self photo with his camera Suddenly an alarm goes off and the security officer wakes from his nap The coffee cup in his hand is broken on the floor,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,0:00:40,0:00:42,2,2,mrbean is still looking at the laser his butt just touched and then he suddenly tries to touch it again with his butt He is probably checking out the alarm system,,,,,,,,,,,,,,,,,,,,
,,,,,The sound rings again AAA stands up very suddenly and the sound stops The laser detector of the museum has sensed AAA and thus the ringing sound was made to notify the staff and to warn the intruder AAA inspects the laser light,,,,,,,,,,,,,,,,,,,,
,,,,,mrbean notices that the alarm is behind him,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
22,0:00:42,0:00:44,2,2,He puts the camera inside his jacket and bends over to touch the laser with his fingers then he is startled by it and takes out a handkerchief from his jacket,,,,,,,,,,,,,,,,,,,,
,,,,,AAA puts his finger between the laser light and the ringing sound is made again Is he stupid Why is he doing that And where's the officer Is he not supposed to be here by now He then takes out a handkerchief out from his jacket,,,,,,,,,,,,,,,,,,,,
,,,,,mrbean notices that the alarm is behind him He takes out a handkerchief from his pocket,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
23,0:00:44,0:00:46,2,2,He waves the handkerchief and then drops it to the laser continuing to test the alarm system He is probably thinking himself that he is very smart doing this,,,,,,,,,,,,,,,,,,,,
,,,,,AAA stretches out his arm and holds the handkerchief He drops the handkerchief so it would penetrate the laser as it goes down,,,,,,,,,,,,,,,,,,,,
,,,,,He drops the handkerchief and hears the alarm going off as the handkerchief passes through the laser beam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
24,0:00:46,0:00:48,2,2,The handkerchief goes past through the red laser He looks at what just happened and bursts into laughter,,,,,,,,,,,,,,,,,,,,
,,,,,As the handkerchief penetrates the laser the sound ring again AAA sees how the laser works and laughs why is he laughing,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean enjoys watching the alarm go off,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
25,0:00:48,0:00:50,2,2,He suddenly gets surprised and turn to look behind There are several people outside the hall walking towards the gallery that he is inside I thought it would be the police coming but it just looks like random visitors who is coming,,,,,,,,,,,,,,,,,,,,
,,,,,The sound of girls laughing is heard AAA stops laughing and turns his head around A group of girls enter the museum,,,,,,,,,,,,,,,,,,,,
,,,,,Several visitors to the gallery walk up the stairs to the floor where mrbean is at,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,0:00:50,0:00:52,2,2,The people coming appear to be schoolgirls with uniform Mrbean looks at them with his hands folded with a smile tilting his head He looks a bit creepy looking at them like that,,,,,,,,,,,,,,,,,,,,
,,,,,The girls make chitchat as they enter AAA smiles wickedly as he sees the girls Then he becomes surprised suddenly,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean looks at them and smiles The visitors are young female students,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
27,0:00:52,0:00:54,2,2,All of sudden mrbean looks very frightened and covers his face with hands Did something bad happen,,,,,,,,,,,,,,,,,,,,
,,,,,He grabs his head with his two hands as if panicking He looks towards his left and makes a face as if he discovered something There is a naked statue in display with other works of art in the back,,,,,,,,,,,,,,,,,,,,
,,,,,Suddenly he remembers something,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
28,0:00:54,0:00:56,2,2,He is looking at the left side of the gallery with the female nude figure in the left and then looks right where the male nude figure is He seems flustered,,,,,,,,,,,,,,,,,,,,
,,,,,The view shows a naked statue followed by another naked statue across each other AAA is confused and panicking It is like he's afraid of naked statues I mean there's like other works of art that show naked people in the background but he's scared to look at the naked statues only,,,,,,,,,,,,,,,,,,,,
,,,,,He remembers about the nude sculptures He worries that the girls see those sculptures,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
29,0:00:56,0:00:58,2,2,He points the right side of him with his finger with his eyes wide open and runs to his left A group of schoolgirls with a pink notebook are coming inside the gallery the floor is very shiny,,,,,,,,,,,,,,,,,,,,
,,,,,He looks to his right then runs to his left The group of girls enter the hall the part of the museum where AAA is It looks like they are schoolgirls they are wearing the same clothing,,,,,,,,,,,,,,,,,,,,
,,,,,The girls look around the gallery talking to each other,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
30,0:00:58,0:01:00,2,2,They are laughing and talking and walking towards the hall They seem to have good time together in the extramural activity,,,,,,,,,,,,,,,,,,,,
,,,,,The girls chatter and giggle while walking forward,,,,,,,,,,,,,,,,,,,,
,,,,,They seem to be enjoying the tour,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
31,0:01:00,0:01:02,2,2,They approach a nude figure with a jacket on and seem very interested and happy to have found it some girls are laughing and pointing at the figure There is a female teacher with a short hair in the back with her eyes closed,,,,,,,,,,,,,,,,,,,,
,,,,,The girls stop in front of the same statue which AAA was afraid of But this time the statue is wearing a jacket AAA covered the naked statue upper body by putting on a jacket on it A tall woman walks towards the statue with the girls Maybe it's the girls' teacher,,,,,,,,,,,,,,,,,,,,
,,,,,They see the nude sculpture wearing a coat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
32,0:01:02,0:01:04,2,2,While the girls are laughing hard at the figure the teacher looks at it and get a bit shocked It is a female nude figure with a brown jacket with two buttons closed while revealing most of her breasts,,,,,,,,,,,,,,,,,,,,
,,,,,The tall woman sees the statue wearing a jacket and is surprised The girls giggle,,,,,,,,,,,,,,,,,,,,
,,,,,The female sculpture is now covered up with a coat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
33,0:01:04,0:01:06,2,2,one of girls points her finger to the other side and they all run towards it The teacher seems a bit sour about this situation,,,,,,,,,,,,,,,,,,,,
,,,,,Then the girls see something on their left and move towards it together,,,,,,,,,,,,,,,,,,,,
,,,,,The girls point somewhere else and go there May be they are going to the other nude sculpture,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
34,0:01:06,0:01:08,2,2,The girls are gathered in front of a male nude figure with a handkerchief covering the penis part,,,,,,,,,,,,,,,,,,,,
,,,,,The girls crowd in front of a naked statue of a man The man's genital is covered by a piece of cloth It is AAA handkerchief,,,,,,,,,,,,,,,,,,,,
,,,,,The male sculpture is covered up with a piece of cloth on the private area,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
35,0:01:08,0:01:10,CHANGE,CHANGE,Scene changes from showing the male nude figure to outside where the couple far away is walking together,,,,,,,,,,,,,,,,,,,,
,,,,,A couple is walking in front of a tower like building Then the driver of the purple car BBB is shown,,,,,,,,,,,,,,,,,,,,
,,,,,The base of the Eiffel Tower is shown,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
36,0:01:10,0:01:12,3,4,It is the shady man again inside the purple car looking outside He discovers something He looks very evil,,,,,,,,,,,,,,,,,,,,
,,,,,BBB frowns then smiles evil,,,,,,,,,,,,,,,,,,,,
,,,,,There is the man in the blue car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
37,0:01:12,0:01:14,3,4,He changes his gear The car is in the middle of many cars in the road,,,,,,,,,,,,,,,,,,,,
,,,,,He puts his car gear He backs up then drives away while laughing,,,,,,,,,,,,,,,,,,,,
,,,,,He drives off somewhere He has a diabolical laugh,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
38,0:01:14,0:01:16,3,4,He turns his car to the left getting out of the line of cars driving past the tower which looks like Eiffel tower,,,,,,,,,,,,,,,,,,,,
,,,,,He drives away Then the camera shifts to showing AAA in the green car who was parking behind the purple car,,,,,,,,,,,,,,,,,,,,
,,,,,mrbean car was two cars behind the blue car Mrbean sees the blue car drive off,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
39,0:01:16,0:01:18,3,4,The clown looking guy with a flower on his head is under the Eiffel Tower There is a couple kissing while sitting on the table nearby Is he trying to perform something there,,,,,,,,,,,,,,,,,,,,
,,,,,The scene then shows a man with a flower on his head playing mime There is a couple kissing passionately next to him The place looks like it is near the Eiffel tower,,,,,,,,,,,,,,,,,,,,
,,,,,There is an outdoor restaurant beneath the Eiffel Tower The man wearing a flower on his head seems to be working there,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
40,0:01:18,0:01:20,3,4,He pantomime as if there was a wall and notices a couple on the left of him The couple is still kissing,,,,,,,,,,,,,,,,,,,,
,,,,,The scene then shows a man with a flower on his head playing mime There is a couple kissing passionately next to him There is also a man reading newspaper,,,,,,,,,,,,,,,,,,,,
,,,,,A couple is seen kissing at a table and a man is reading a newspaper at the other table,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
41,0:01:20,0:01:22,3,4,He stops his performance and looks at the kissing couple with an extremely mad face Does he hate couples,,,,,,,,,,,,,,,,,,,,
,,,,,The mime man sees the couple kissing and becomes upset,,,,,,,,,,,,,,,,,,,,
,,,,,A couple is seen kissing at a table and a man is reading a newspaper at the other table,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
42,0:01:22,0:01:24,3,4,He suddenly starts to make comical gestures with his tongue hanging down Probably teasing them,,,,,,,,,,,,,,,,,,,,
,,,,,The mime man makes a silly face and sticks his tongue out in front of them as if to tease But the couple does not see him and the mime man remains upset,,,,,,,,,,,,,,,,,,,,
,,,,,The man wearing a flower is making funny faces May be he is a clown,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
43,0:01:24,0:01:26,3,4,The couple keeps kissing without giving him a glance so the clown guy gets upset again All of a sudden the purple car runs towards him so he jumps really high This could have killed him,,,,,,,,,,,,,,,,,,,,
,,,,,A warning sound is made and the mime man looks towards his right He suddenly jumps up and lands at the table in front of the kissing couple as the purple car rushes forward,,,,,,,,,,,,,,,,,,,,
,,,,,The blue car almost runs over the man but he dodged,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
44,0:01:26,0:01:28,3,4,The purple car runs fast to the right side and the clown guy landed on the table of the couple while they are still kissing He wipes his forehead with a relief It is funny how the couple does not notice him when he jumped and landed on their table,,,,,,,,,,,,,,,,,,,,
,,,,,The purple car makes a turn to its right and disappears from the scene The mime man takes a deep breath and wipes his forehead as if he is relieved,,,,,,,,,,,,,,,,,,,,
,,,,,The man looks relieved,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
45,0:01:28,0:01:30,3,4,He notices another thing and freezes,,,,,,,,,,,,,,,,,,,,
,,,,,Another warning sound is made and the mime man becomes surprised again The green car is shown this time,,,,,,,,,,,,,,,,,,,,
,,,,,The man sees something coming at him and the other people at the tables,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
46,0:01:30,0:01:32,3,4,Mrbean is driving his green car fast and the clown guy puts on an angry face clenching his fists Does the clown guy dislike Mrbean,,,,,,,,,,,,,,,,,,,,
,,,,,The green car moves forward The mime man looks prepare himself for the car,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean car Mrbean is chasing the blue car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
47,0:01:32,0:01:34,3,4,The clown guy jumps off the table Mrbean sees him doing that and gets super surprised The clown is blocking the car way,,,,,,,,,,,,,,,,,,,,
,,,,,The mime man jumps up The green car driver is surprised The mime man jumps and lands in front of the car,,,,,,,,,,,,,,,,,,,,
,,,,,The man with the flower jumps down the table and stops Mrbean car,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
48,0:01:34,0:01:36,3,4,The clown whistles his hand The car stops right in front of him Mrbean says something to the clown looking angry but the clown just blinks his eyes,,,,,,,,,,,,,,,,,,,,
,,,,,The mime man stretches his arm out towards the green car as if gesturing it to stop The green car stops AAA the driver becomes upset and complains,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean has to pull the brake suddenly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
49,0:01:36,0:01:38,3,4,Mrbean tries to turn his car to the right but the clown jumps in his way,,,,,,,,,,,,,,,,,,,,
,,,,,The green car reverses then tries to move forward by avoiding the mime man The mime man moves and stops the car again Wow the mime is so annoying Also I am assuming this is the scene that comes before the very first scene that I saw,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean tries to turn to the other side but the man does not let his car pass through,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
50,0:01:38,0:01:40,3,4,He tries to turn the car to the other side but clown already moved to block his way This is really mean of him to block his way what has mrbean done to him,,,,,,,,,,,,,,,,,,,,
,,,,,The green car reverses again trying to attempt the same action But the mime blocks the car again,,,,,,,,,,,,,,,,,,,,
,,,,,No matter how mrbean tries to pass through the man does not let him,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
51,0:01:40,0:01:42,3,4,Clown blocking his way teases Mrbean in the car waving his finger with his eyes closed,,,,,,,,,,,,,,,,,,,,
,,,,,The mime smiles to the driver and shakes his head and finger as if trying to hint you are not supposed to do that to the driver,,,,,,,,,,,,,,,,,,,,
,,,,,No matter how Mrbean tries to pass through the man does not let him,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
52,0:01:42,0:01:44,CHANGE,CHANGE,scene change,,,,,,,,,,,,,,,,,,,,
,,,,,AAA expresses his anger by squinting his face and shaking his fists AAA holds the suitcase with his hands and walks towards an empty display wall,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean looks frustrated,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
53,0:01:44,0:01:46,4,5,Mrbean holding the briefcase walks towards the empty wall where the picture is supposed to be at and smiles while turning around to see his back,,,,,,,,,,,,,,,,,,,,
,,,,,AAA happily raises the suitcase in front of the wall and takes something out from the suitcase Is he returning a piece of painting,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean is in the art gallery carrying the suitcase,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
54,0:01:46,0:01:48,4,5,Mrbean takes out work of art from the briefcase and bends over to reach the wall His arm too short to reach without touching the laser line,,,,,,,,,,,,,,,,,,,,
,,,,,He takes the piece of art with his two hands and tries to hang it on the wall but sees the laser detector at the bottom,,,,,,,,,,,,,,,,,,,,
,,,,,He takes out a painting from the suitcase and tries to put it back to its place This is the painting he took from the blue car And he is returning it Did the man who drives the blue car steal it,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
55,0:01:48,0:01:50,4,5,Mrbean continues to try reaching the wall while keeping his attention on the laser line should he not also look at the wall to hang the picture properly,,,,,,,,,,,,,,,,,,,,
,,,,,He hangs the painting while trying not to disturb the laser,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean tries to put the painting back to its place but has to avoid the laser beam,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
56,0:01:50,0:01:52,4,5,Mrbean succeeds to hang the wall and is very happy about it,,,,,,,,,,,,,,,,,,,,
,,,,,He succeeds in putting the painting back without touching the laser He smiles proudly The schoolgirls come into the hall with the teacher,,,,,,,,,,,,,,,,,,,,
,,,,,He finally succeeds in putting the painting back,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
57,0:01:52,0:01:54,4,5,A group of schoolgirls and their teacher are entering the gallery,,,,,,,,,,,,,,,,,,,,
,,,,,The girls and the teacher walk in,,,,,,,,,,,,,,,,,,,,
,,,,,The young girls and their teacher look around the gallery,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
58,0:01:54,0:01:56,4,5,Mrbean sees the schoolgirls and rub his hands with glee He probably finds the little schoolgirls very cute,,,,,,,,,,,,,,,,,,,,
,,,,,AAA looks at them happily and rubs his two hands together There is a painting of Aphrodite near him the famous painting named The Birth of Venus So that painting was stolen and AAA brought it back to the museum,,,,,,,,,,,,,,,,,,,,
,,,,,Mrbean looks happy to see them,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
59,0:01:56,0:01:58,4,5,Mrbean waves his finger to the girls with a smile and present the picture with hands He seems happy to present it to the girls It is an artwork depicting Venus,,,,,,,,,,,,,,,,,,,,
,,,,,AAA moves his finger towards the girls as if waving or saying hi to them He then gestures towards the painting he brought back proudly,,,,,,,,,,,,,,,,,,,,
,,,,,He is gesturing something May be he wants to greet them,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
60,0:01:58,0:02:00,4,5,When Mrbean turned around to see the picture he is startled Probably because that picture is not supposed to be there,,,,,,,,,,,,,,,,,,,,
,,,,,He then is very suddenly surprised as if there is something wrong He stares at the painting,,,,,,,,,,,,,,,,,,,,
,,,,,He looks at the painting that he put back earlier and notices something is wrong,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
